Count	Words
5		and found
5		and see
5		and that's
5		another moment
5		any more
5		as much
5		as to
5		be said
5		beg your
5		came upon
5		did they
5		do it
5		door and
5		down at
5		down here
5		down to
5		eyes and
5		feet high
5		find that
5		for you
5		found it
5		get in
5		get out
5		gloves and
5		go and
5		going on
5		had got
5		had just
5		had no
5		hand and
5		hands and
5		he did
5		he had
5		he was
5		he went
5		hear the
5		heard a
5		heard the
5		her own
5		her to
5		herself I
5		herself as
5		him and
5		how she
5		how to
5		in all
5		in another
5		in at
5		in fact
5		in his
5		in reply
5		in that
5		in their
5		into her
5		into its
5		it must
5		it so
5		it's a
5		key and
5		kid gloves
5		kind of
5		know said
5		know the
5		last the
5		like it
5		little golden
5		looked down
5		looked up
5		looking for
5		made her
5		made out
5		meaning in
5		moment she
5		next witness
5		not could
5		not the
5		not to
5		of great
5		of you
5		off and
5		offended tone
5		on her
5		on his
5		on one
5		out again
5		out that
5		out the
5		pair of
5		play croquet
5		please your
5		put on
5		rest of
5		right size
5		round her
5		see if
5		she added
5		she made
5		she remembered
5		she set
5		she walked
5		should like
5		should think
5		shouted the
5		so VERY
5		so said
5		talk about
5		that Alice
5		that he
5		that makes
5		that was
5		the Queen's
5		the executioner
5		the great
5		the ground
5		the hall
5		the look
5		the mushroom
5		the others
5		the soldiers
5		then said
5		thing said
5		think of
5		think you
5		this was
5		thought she
5		thought to
5		tired of
5		to eat
5		to grow
5		to itself
5		to know
5		to listen
5		to put
5		to you
5		too much
5		trembling voice
5		up again
5		very glad
5		very politely
5		was all
5		was an
5		was beginning
5		was over
5		was too
5		what to
5		which she
5		white kid
5		wish you
5		without a
5		would have
5		you can
5		you can't
5		you could
5		you mean
5		you think
5		you wouldn't
5		your pardon
4		After a
4		Alice Come
4		Alice I've
4		Alice It
4		Alice but
4		Alice hastily
4		Alice quite
4		Alice ventured
4		And how
4		And yet
4		At last
4		At this
4		Beau ootiful
4		But she
4		Caterpillar Well
4		Cheshire Cat
4		Hare said
4		I eat
4		I get
4		I said
4		I shan't
4		I used
4		I'll have
4		It isn't
4		It's a
4		Lobster Quadrille
4		Majesty said
4		Mary Ann
4		Oh I
4		Oh dear
4		Queen was
4		Queen who
4		She had
4		She said
4		That's the
4		The Duchess
4		The King
4		The Mock
4		The first
4		Then it
4		Then the
4		They all
4		They were
4		Turtle said
4		When the
4		Why I
4		a day
4		a deep
4		a hurry
4		a melancholy
4		a new
4		a sort
4		a tree
4		a voice
4		a whiting
4		about as
4		about for
4		added in
4		after the
4		again the
4		all about
4		all this
4		an offended
4		and how
4		and if
4		and just
4		and looking
4		and to
4		are old
4		as there
4		at them
4		back again
4		back and
4		be so
4		be sure
4		be the
4		become of
4		been changed
4		before and
4		before the
4		begin with
4		bottom of
4		but then
4		but they
4		change the
4		come back
4		come to
4		continued the
4		could for
4		dance Will
4		did said
4		did so
4		didn't know
4		do said
4		do to
4		doesn't matter
4		don't like
4		don't think
4		down a
4		down again
4		enough to
4		every now
4		explain it
4		felt a
4		finished the
